iter,f,grad_norm,step_norm,step_size,cumulative_time,per_iter_time,accepted,armijo_iters,gtd,hvp_calls_iter,hvp_calls_cum,subspace_dim,eta,lambda_min_phpt,lambda_shift,seed_sketch,used_grad_fallback
67,0.14033141027403803,0.008992718748412535,0.27934652606482596,1.0,187.44421489490196,2.8009806517511606,1,0,-0.0006682174303008902,200,13400,200,0.09571851129453951,0.001018437252418846,0.0,2383172707,0
68,0.13972399240232555,0.008906315626399356,0.28364318998346266,1.0,190.2407201565802,2.796414954587817,1,0,-0.0006542225902798419,200,13600,200,0.09482994647479527,0.0010255077458431454,0.0,4029392187,0
69,0.13907604009280133,0.008621575827792207,0.28812569989130427,1.0,193.0479764956981,2.8071797201409936,1,0,-0.0006957599693843272,200,13800,200,0.09437327813740157,0.0009438950117069459,0.0,1613363650,0
70,0.13846935829023224,0.008566521927174693,0.2830998164483823,1.0,195.83198109082878,2.7839322360232472,1,0,-0.0006530618105152981,200,14000,200,0.09285244115149696,0.0009572011015365756,0.0,875504072,0
71,0.13790024625871836,0.008484676965452374,0.27663183187180757,1.0,198.60264549497515,2.77058974141255,1,0,-0.0006098315281664405,200,14200,200,0.09255550727630794,0.0009402819915366829,0.0,657479500,0
72,0.1373681846384709,0.008510874138244915,0.27405511186519904,1.0,201.39970147563145,2.7969820857979357,1,0,-0.000576658538257594,200,14400,200,0.09211230626497403,0.0009535417616700128,0.0,2287188025,0
73,0.13683137729375264,0.00833081361641998,0.27003594085681937,1.0,204.19703571358696,2.7972599240019917,1,0,-0.0005844245099343809,200,14600,200,0.09225439901839323,0.0009497280194793685,0.0,972032133,0
74,0.13623835353206057,0.008240540063091467,0.2775974129928937,1.0,206.99536634562537,2.7982577150687575,1,0,-0.0006449929400247033,200,14800,200,0.09127329081620746,0.0009232043932825807,0.0,2376529106,0
75,0.1357845957765263,0.0082218914087786,0.2523697411389232,1.0,209.7833868949674,2.7879481916315854,1,0,-0.0004903558484322544,200,15000,200,0.09077742044744093,0.0009233205516694838,0.0,2767528041,0
76,0.13517670063226647,0.007987038206736206,0.2902534558850667,1.0,212.59358044760302,2.810120217036456,1,0,-0.0006627970587150667,200,15200,200,0.09067464589828074,0.0009610326520701859,0.0,2292214858,0
77,0.134624894343957,0.0079213619763976,0.2719808151877719,1.0,215.39082472678274,2.7971671712584794,1,0,-0.0005897873133409667,200,15400,200,0.08937023109926596,0.0009204192316144981,0.0,2608148665,0
78,0.13415348782271244,0.007890850219148609,0.25299731080076465,1.0,218.1990254917182,2.8081198162399232,1,0,-0.0005093004511054575,200,15600,200,0.0890020335520352,0.0009347032390041427,0.0,3850341091,0
79,0.13370518440797058,0.007762128682945354,0.24315405064044673,1.0,221.0168521469459,2.8177542979829013,1,0,-0.00048515896988015424,200,15800,200,0.08883045772227344,0.0009315416744682034,0.0,2391476556,0
80,0.13316467312961064,0.007870402660224025,0.2771512944652468,1.0,223.84411366982386,2.827183926012367,1,0,-0.0005913690024945924,200,16000,200,0.0881029436678784,0.0009568106116150474,0.0,1468986525,0
81,0.1327263999387885,0.007682810379217331,0.24405123478203314,1.0,226.657249675598,2.8127745636738837,1,0,-0.0004719666225852171,200,16200,200,0.08871528988975928,0.0009610425275273954,0.0,1825426009,0
82,0.1323021954137077,0.0075732982668341095,0.24740066048968815,1.0,229.43953722389415,2.7822151901200414,1,0,-0.0004539116292066826,200,16400,200,0.0876516421934999,0.0008799134524905261,0.0,2805006004,0
83,0.13180193744313976,0.007459992965742681,0.271717770241562,1.0,232.23273998079821,2.7931336821056902,1,0,-0.0005444845031929637,200,16600,200,0.08702469917692396,0.0009308148618980257,0.0,3606205960,0
84,0.13128613293382144,0.007402069978107846,0.27132840036080036,1.0,235.02008911781013,2.787279992364347,1,0,-0.0005582491686094474,200,16800,200,0.08637125080570895,0.0008474521928687242,0.0,104411912,0
85,0.13084169035103788,0.007353531380960706,0.25240726341074005,1.0,237.81761444592848,2.7974515720270574,1,0,-0.00047966182400970426,200,17000,200,0.08603528333252496,0.0009211461258228774,0.0,3642006779,0
